,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
144713,Maharashtra Circle,Aurangabad Region,Bhusaval Division,Adavad S.O,425303,PO,Delivery,JALGAON,MAHARASHTRA,18.995568,75.791871
144714,Maharashtra Circle,Aurangabad Region,Bhusaval Division,Bhusawal Ordnance Factory S.O,425203,PO,Delivery,JALGAON,MAHARASHTRA,20.90164,74.782369
144715,Maharashtra Circle,Aurangabad Region,Bhusaval Division,Bodwad S.O,425310,PO,Delivery,JALGAON,MAHARASHTRA,20.90164,74.782369
144727,Maharashtra Circle,Aurangabad Region,Bhusaval Division,Faizpur S.O,425503,PO,Delivery,JALGAON,MAHARASHTRA,20.90164,74.782369
144728,Maharashtra Circle,Aurangabad Region,Bhusaval Division,Varangaon Ord.Factory S.O,425308,PO,Delivery,JALGAON,MAHARASHTRA,20.90164,74.782369
144729,Maharashtra Circle,Aurangabad Region,Bhusaval Division,Bhusawal Athawade Bazar S.O,425201,PO,Non Delivery,JALGAON,MAHARASHTRA,,
144730,Maharashtra Circle,Aurangabad Region,Bhusaval Division,Chinawal S.O,425505,PO,Delivery,JALGAON,MAHARASHTRA,20.90164,74.782369
144858,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Ghansawangi S.O,431209,PO,Delivery,JALNA,MAHARASHTRA,19.839128,75.890447
144859,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Rakhiv Police Bal Jalna S.O,431203,PO,Non Delivery,JALNA,MAHARASHTRA,,
144860,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Ramnagar S.O,431214,PO,Delivery,JALNA,MAHARASHTRA,19.84,75.89
144931,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Ambad Bazar S.O,431204,PO,Non Delivery,JALNA,MAHARASHTRA,,
144932,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Ambika Market Jalna S.O,431203,PO,Non Delivery,JALNA,MAHARASHTRA,,
144933,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Midc Jalna S.O,431213,PO,Non Delivery,JALNA,MAHARASHTRA,,
144934,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Old Jalna S.O,431213,PO,Non Delivery,JALNA,MAHARASHTRA,,
144935,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Ranjani S.O (Jalna),431207,PO,Delivery,JALNA,MAHARASHTRA,19.839128,75.890447
144936,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Rajur,431215,PO,Delivery,JALNA,MAHARASHTRA,19.84,75.89
144944,Maharashtra Circle,Pune Region,Satara Division,Kinhai S.O,415021,PO,Delivery,SATARA,MAHARASHTRA,17.7962778,74.1704444
144945,Maharashtra Circle,Pune Region,Satara Division,Kolki S.O (Satara),415523,PO,Non Delivery,SATARA,MAHARASHTRA,17.9828,74.4437
144946,Maharashtra Circle,Pune Region,Satara Division,Mahableshwar S.O,412806,PO,Delivery,SATARA,MAHARASHTRA,17.9274722,73.6561111
144947,Maharashtra Circle,Pune Region,Satara Division,Medha S.O,415012,PO,Delivery,SATARA,MAHARASHTRA,17.7946389,73.8287222
144948,Maharashtra Circle,Pune Region,Satara Division,Parali S.O,415013,PO,Delivery,SATARA,MAHARASHTRA,18.8548056,76.53
144949,Maharashtra Circle,Pune Region,Satara Division,Sangamnagar Satara S.O,415003,PO,Delivery,SATARA,MAHARASHTRA,17.6875556,74.0254444
144950,Maharashtra Circle,Pune Region,Satara Division,Surur S.O,415517,PO,Delivery,SATARA,MAHARASHTRA,17.96075,73.9840556
144951,Maharashtra Circle,Pune Region,Satara Division,Vaduth S.O,415011,PO,Delivery,SATARA,MAHARASHTRA,17.7534167,74.0571667
144952,Maharashtra Circle,Pune Region,Satara Division,Vathar BK S.O,415526,PO,Delivery,SATARA,MAHARASHTRA,18.1166944,74.1044167
144953,Maharashtra Circle,Pune Region,Satara Division,Vennanagar S.O,415022,PO,Delivery,SATARA,MAHARASHTRA,17.5903611,74.4530556
144954,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Soegaon S.O,431120,PO,Delivery,AURANGABAD,MAHARASHTRA,19.839128,75.890447
145086,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Ankush Nagar S.O,431212,PO,Delivery,JALNA,MAHARASHTRA,19.839128,75.890447
145087,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Collectorate Complex Jalna S.O,431213,PO,Non Delivery,JALNA,MAHARASHTRA,,
145088,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Jaffrabad S.O,431206,PO,Delivery,JALNA,MAHARASHTRA,19.839128,75.890447
145089,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Jalna Mondha S.O,431203,PO,Non Delivery,JALNA,MAHARASHTRA,,
145090,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Jalna Railway Station S.O,431213,PO,Delivery,JALNA,MAHARASHTRA,19.839128,75.890447
145091,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Tembhurni S.O (Jalna),431208,PO,Delivery,JALNA,MAHARASHTRA,19.839128,75.890447
145092,Maharashtra Circle,Aurangabad Region,Aurangabad Division,Wadigodri S.O,431205,PO,Delivery,JALNA,MAHARASHTRA,19.839128,75.890447
145093,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Bhoom S.O,413504,PO,Delivery,OSMANABAD,MAHARASHTRA,19.269567,76.774114
145094,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Lohara S.O,413608,PO,Delivery,OSMANABAD,MAHARASHTRA,19.269567,76.774114
145095,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Yedshi S.O,413405,PO,Delivery,OSMANABAD,MAHARASHTRA,19.269567,76.774114
145096,Maharashtra Circle,Aurangabad Region,Pharbhani Division,Goregaon S.O (Hingoli),431703,PO,Delivery,HINGOLI,MAHARASHTRA,20.231061,75.448517
145097,Maharashtra Circle,Aurangabad Region,Pharbhani Division,Kalamnuri S.O,431702,PO,Delivery,HINGOLI,MAHARASHTRA,20.231061,75.448517
145098,Maharashtra Circle,Aurangabad Region,Pharbhani Division,Mangalwara Hingoli S.O,431513,PO,Non Delivery,HINGOLI,MAHARASHTRA,77.1622486,19.7040131
145099,Maharashtra Circle,Aurangabad Region,Pharbhani Division,Mantha S.O,431504,PO,Delivery,JALNA,MAHARASHTRA,20.231061,75.448517
145100,Maharashtra Circle,Aurangabad Region,Pharbhani Division,Satona S.O,431502,PO,Delivery,JALNA,MAHARASHTRA,20.231061,75.448517
145101,Maharashtra Circle,Aurangabad Region,Pharbhani Division,Sengaon S.O,431542,PO,Delivery,HINGOLI,MAHARASHTRA,20.231061,75.448517
145103,Maharashtra Circle,Pune Region,Shrirampur Division,Ashvi Kd S.O,413738,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.51755556,74.36630556
145104,Maharashtra Circle,Pune Region,Shrirampur Division,Babhleshwar S.O,413737,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.59675,74.509
145105,Maharashtra Circle,Pune Region,Shrirampur Division,Bhende SK S.O,414605,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.45208333,75.04113889
145106,Maharashtra Circle,Pune Region,Shrirampur Division,Bhanashivara S.O,414609,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.4860278,74.9699167
145107,Maharashtra Circle,Pune Region,Shrirampur Division,Bota S.O,422602,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.2577,74.146
145108,Maharashtra Circle,Pune Region,Shrirampur Division,Changdeonagar S.O,413723,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.74405556,74.62244444
145109,Maharashtra Circle,Pune Region,Shrirampur Division,Gondhavani S.O,413709,PO,Non Delivery,AHMEDNAGAR,MAHARASHTRA,19.61597222,74.67569444
145110,Maharashtra Circle,Pune Region,Shrirampur Division,Kolhar S.O (Ahmed Nagar),413710,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.4860278,74.9699167
145111,Maharashtra Circle,Pune Region,Shrirampur Division,Kotul S.O,422610,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,18.4337,72.9622
145112,Maharashtra Circle,Pune Region,Shrirampur Division,Nevasa S.O,414603,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.55147222,74.92722222
145113,Maharashtra Circle,Pune Region,Shrirampur Division,Padhegaon S.O,413721,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.53386111,74.69111111
145114,Maharashtra Circle,Pune Region,Shrirampur Division,Chasnali S.O,423604,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.94938889,74.28986111
145115,Maharashtra Circle,Pune Region,Shrirampur Division,Dhamori S.O,423607,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.96891667,74.31447222
145116,Maharashtra Circle,Pune Region,Shrirampur Division,Dhandharphal S.O,422603,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.532,74.1188
145117,Maharashtra Circle,Pune Region,Shrirampur Division,Harigaon S.O,413718,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.39363889,74.42169444
